ReviewID,ReviewText,Sentiments
337083244,"5 min drive Pisa need catch Bus , far walk.Beautiful self-contained apartment , well appoint plenty space , clean.Great pool area spa massage area downstairs .",0
110947906,"travel around , spend one night Station Pisa hostel 3 friends.The 4-bed room book clean really simple bed 2 bunkbeds , problem u might problem age group . bathroom share another room clean well . 's location perfect , airport centre , hand Pisa rather small city , everything walk distance . far saw , people hostel young traveller , also age group would recommend hostel . receptionist nice helpful everything need . price 50 euro/night room 4 people , expect . However , would n't recommend people want travel luxury , one need simple , cheap , clean convieniently locate place stay .",0
72000355,"Difficult access center public transport . apply travel to/from airport 22.00 6.00am . Internet lobby , good hotel watch standards.Very good breakfast . Possibility receive snack 4:00 , happen hotel .",0
576434400,"hotel helpful give instruction access note front desk past 8pm bite odd . could n't get wifi password work . hotel room clean huge . double bed two single bed put together , bite weird . shower ok bathroom clean . trouble mosquito . literally could n't sleep keep buzz ear . everywhere visitor book include people mention . sure 's much ruin stay leave tire bite next day . Certainly would stay one , important reason .",0
7403247,"spend last night 2 week Tuscan trip Pisa would close train station arrival want leave early catch taxi aeroporto flight home . room OK , though fail tell u turn light room ( key card slot thing ) go back downstairs find . Communication definitely issue hotel , since desk clerk speak enough English make u think understand say , n't think half time . shower SMALL , 've see small one Europe , usually complaint . Pisa disappoint Florence , Cortona , Siena , Vernazza , Lucca . get cool David refrigerator magnet girl Leaning Tower however . big problem even though tell desk clerk least 3 time leave 6:30 airport , find front gate lock try leave next morning . walk back apartment clerk pull pant come . agitate want leave open gate 7:00 . Well , open back home another story tell . would hotel next train station near airport ca n't leave 7 morning ? Beware .",0
6627761,"stay hotel New Year 's Eve hotel Florence Rome tight . location convenient arrive train , 20-min walk historical centre . area around train station also tend budget eat option open long hour , compare town centre.We pay 72 Euro basic , tiny room toilet . place right , rather clean springy bed small tv ( Italian channel ) . tiny room size could walk narrow path around bed.The bathroom new nice part room . However floor get wet easily due poor shower partition , lack curb entrance mean room also tend get pretty wet too.The room rate also n't come breakfast , charge 5 Euro per person . staff also pretty hands-off , mean advise ask otherwise engage guest . close hotel 1am , give key front door asked.Overall 's right place crash night , bare room impress .",0
511216515,"price mis-informed upon arrival . i.e . impression book park breakfast include result additional 35 euro per night anticipate . $ 250 cdn per night confident much sufficient accommodations.SleepingWe family room 5 x single bed . bed uncomfortable area noisy . Street traffic loud near reciption even next floor , hear everything . wall thin . positive though airconditioning work well essential stay Italy summer.BreakfastBreakfast additional $ 5 euro per person must book night . confirm multiple staff still nothing leave expect u . staff & quot ; inform & quot ; u Asian tour group morning & quot ; always eat everything & quot ; plus expect u ( family 4 ) . Obviously issue acceptionable/professional response . confirm staff breakfast serve 9:30am inform would attend breakfast 9am . Still , limit ( enough fee 1 person ) cold bacon egg leave . Apparently cook one batch 7:15am let sit . replenish . arrive 7:15am , breakfast worth ... late unless change practice . StaffStaff friendly male staff particular go assist speak good English . Location1 minute walk train station 10 minute walk tower ( 5 7 year old ) . Cleanliness & ; FunctionalityClean . floor could good sweep concern cleanliness . shower warm offer good water pressure . Linens 're fresh upon arrival change daily ( anticipate 2-star hotel ) . maintain electricity , need leave card slot door . need card key - Air Miles card . toilet barely function . need hold button try 3 time actually fully flush toilet . fridge work . OverallWe would book would explore option future . say , option limit simply look place crash night , adequate .",0
123893422,"stay one night catch early morning flight Pisa airport . Location convenient train station , catch quick easy train directly airport . Staff front desk wer n't particularly friendly , room n't clean ( table sticky obviously n't wipe ) . Would n't want stay long one night - convenience make passable .",0
325642304,"2nd stay hotel ( prev . 2010 ) drop reception staff standard since early visit allocate grind floor room . elevator , lift , 1st floor room , lug heavy baggage difficult 70 's man . stair corridor darkness motion sensor eventually bring light on.In October 2015 allocate 1st floor room 13 , face side street . room ample man . service every day bathroom always clean fresh towel . word warn traveller , hope hotel management , polish marble floor room 13 bathroom great hazard slip fall - equally bad polish marble floor bedroom : mean wet foot cause slip .... nasty way end holiday far home ( Australia ) break bone wrist ! Nothing bad happen glad report.The breakfast offer average variety , sufficient.Travellers may like know 25 30 minute level walk hotel Leaning Tower Pisa complex .",0
645867167,"location next train station , also pisa big city walk monument feel like.The room nice comfortable.The breakfast fresh could improve .",0
