ReviewID,ReviewText,Sentiments
116973608,"Hostel pretty good location , 15 min walk airport direction pretty good . 10 min walk Tower 2 min walk train station . Room wasnt best , stay female dorm grind floor n't seem secure , room door n't lock front door hostel open time . room locker everyone , however one allocate didnt lock . cleanist place , get bed bug . bathroom werent best either , 2 dorm grind floor 2 bathroom . water pressure , cold shower .",-1
93875484,place clean staff friendly three big minus : 1 CD NN PRP ( CD NNS ) VBP JJ JJ NNS VBP VBD PRP VBD CD NNS . hot hard could n't sleep . Imagine summer ! ventilation bad.3 . could n't sleep neither 'cause 's highway right next hostel hear night traffic rush ; - ( (,-1
119887660,"Wanted stay hostel two night together friend . stay many hostel bad ever . wake saw bed bug bed . Stitches whole body . itchy ! Please stay hostel avoid spread bed bug hostel home ! bathroom old , shower cold unhygienic . stay octobre strange people hostel definitely backpacker tourist . loud night railway track behind hostel motorway . like free wifi dinner though . location okay : close airport station little far city centre ( ~35 min walk ) . nevertheless : absolutely disgust !",-1
218862698,"stay Galileo one night . dont really know get 4 star . photo dont show reality : first floor old build , bad decorate . hear everthing room , case , room , would wake everytime someone would enter hotel . bad point definitely lack clean , cause think totaly unacceptable pay price pay notice floor , bath arent clean.For fair , would say girl reception desk nice kind , positive thing .",-1
4354038,noisy night . Beds small - 'm 5 ' 6 & quot ; foot hang end ! wall like paper feel intimate neighbour . Shower poor . Convenient location though . would n't stay .,-1
303004966,"spend one night hotel , solo single room close reception desk.first receptionist bite intrusive call room , ask number . stay professional 's enough.then room tiny , impossible breath strange humid smell . AC n't work . internet poor , one device need re-log every 10 min â¦ ! ! ! night , start rain impossible close eye ! noise room tough water would come . look someone desk nobody , door outside look ! totally crasy . bad hotel life , nightmare !",-1
271304544,"stay hotel one night weekend trip Pisa . travel alone would recommend hotel woman travel alone . check-in ( male ) receptionist ask inappropriate question marry , like go dance drink beer end also like violent men find disturb . Needless say , terrify sleep well night . Apart disrespect receptionist , window open , hole sheet noisy night . addition Wi-Fi work.Do n't sleep unless really .",-1
230088333,"location hotel excellent locate directly opposite Pisa 's central train station.However , find staff particularly unhelpful rather ponderous.In addition , breakfast provide bland basic.I would definitely stay .",-1
36867272,"elevator , get help carry heavy bag upstairs . get advice reception use light room ask clean helpful . staff reception smile talk much . lady though give u advise go tourist information center recommend bus train go Viareggio train accident.The breakfast okey also cheese ham . TV breakfast room.The colour hotel terrible orange , green .. room small . noise traffic room , could sleep quite well . bathroom terrible . get wet , smell awful ... mould.Location close railway station . afro-asian shop street also elegant wine shop . know area safe late night . easy reach hotel come Florence train . also take train Pisa airport leave . three passenger morning . see taxi taxi station.We walk Pisa tower , also bus . tourist information guide u nice way walk . long way shop street hotel also restaurant step away.From bus station buy ticket Viareggio beach resort . bus stop far hotel . bus full beach vendor come back bus hot . , wait last bus . Luckily driver open door drive .",-1
61336933,"arrive late Pisa Central Train Sta . immediately concern safety area around station . hotel stones'-throw station never really felt good choice ( book online ) . room plenty large enough u toughed-out night . change hotel second night much happy . get pay , Roseto mean thin wall , stain bedspread ( patch sew good measure ) , strange odor really odd towel . must admit hotel area look much good daylight , n't u .",-1
